Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
11680000000.0000	  -0.6524	   0.0160	  -0.4055	   0.1022	  -0.4054	   0.1075	   0.5790	   0.2961
11760000000.0000	  -0.6469	   0.0153	  -0.4036	   0.1087	  -0.4037	   0.1157	   0.5816	   0.2834
11840000000.0000	  -0.6464	   0.0126	  -0.4025	   0.1161	  -0.4011	   0.1237	   0.5835	   0.2712
11920000000.0000	  -0.6451	   0.0161	  -0.3988	   0.1261	  -0.3972	   0.1313	   0.5864	   0.2579
12000000000.0000	  -0.6384	   0.0184	  -0.3951	   0.1349	  -0.3946	   0.1398	   0.5879	   0.2447
12080000000.0000	  -0.6348	   0.0158	  -0.3928	   0.1417	  -0.3922	   0.1476	   0.5889	   0.2333
12160000000.0000	  -0.6352	   0.0162	  -0.3905	   0.1489	  -0.3892	   0.1556	   0.5905	   0.2198
12240000000.0000	  -0.6305	   0.0194	  -0.3869	   0.1581	  -0.3852	   0.1639	   0.5915	   0.2078
12320000000.0000	  -0.6225	   0.0206	  -0.3832	   0.1673	  -0.3814	   0.1723	   0.5921	   0.1959
12400000000.0000	  -0.6232	   0.0176	  -0.3800	   0.1751	  -0.3778	   0.1794	   0.5923	   0.1832
12480000000.0000	  -0.6223	   0.0204	  -0.3755	   0.1822	  -0.3742	   0.1871	   0.5929	   0.1712
12560000000.0000	  -0.6136	   0.0233	  -0.3701	   0.1897	  -0.3698	   0.1956	   0.5927	   0.1588
12640000000.0000	  -0.6088	   0.0216	  -0.3671	   0.1980	  -0.3655	   0.2040	   0.5928	   0.1469
12720000000.0000	  -0.6105	   0.0207	  -0.3640	   0.2060	  -0.3609	   0.2110	   0.5916	   0.1360
12800000000.0000	  -0.6076	   0.0247	  -0.3573	   0.2134	  -0.3559	   0.2183	   0.5918	   0.1241
12880000000.0000	  -0.5994	   0.0238	  -0.3513	   0.2204	  -0.3515	   0.2265	   0.5908	   0.1120
12960000000.0000	  -0.5971	   0.0204	  -0.3492	   0.2274	  -0.3468	   0.2341	   0.5883	   0.1013
