Sample holder length =	6.9500e-003 meters
Sample thickness =	4.7400e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
14880000000.0000	  -0.1855	  -0.0597	  -0.4157	   0.6567	  -0.4179	   0.6556	  -0.1271	   0.1691
14960000000.0000	  -0.2005	  -0.0841	  -0.3952	   0.6633	  -0.4017	   0.6658	  -0.1337	   0.1751
15040000000.0000	  -0.2250	  -0.0778	  -0.3817	   0.6723	  -0.3820	   0.6722	  -0.1440	   0.1828
15120000000.0000	  -0.2165	  -0.0725	  -0.3614	   0.6803	  -0.3642	   0.6796	  -0.1512	   0.1882
15200000000.0000	  -0.2157	  -0.0986	  -0.3420	   0.6818	  -0.3454	   0.6852	  -0.1561	   0.1936
15280000000.0000	  -0.2474	  -0.1079	  -0.3252	   0.6883	  -0.3289	   0.6923	  -0.1617	   0.2038
15360000000.0000	  -0.2530	  -0.0888	  -0.3077	   0.6978	  -0.3099	   0.6950	  -0.1704	   0.2120
15440000000.0000	  -0.2388	  -0.1026	  -0.2863	   0.6982	  -0.2926	   0.7011	  -0.1764	   0.2179
15520000000.0000	  -0.2619	  -0.1285	  -0.2710	   0.6975	  -0.2728	   0.7050	  -0.1791	   0.2254
15600000000.0000	  -0.2888	  -0.1120	  -0.2550	   0.7088	  -0.2558	   0.7097	  -0.1829	   0.2366
15680000000.0000	  -0.2711	  -0.1066	  -0.2327	   0.7133	  -0.2386	   0.7086	  -0.1899	   0.2466
15760000000.0000	  -0.2748	  -0.1348	  -0.2137	   0.7058	  -0.2235	   0.7155	  -0.1965	   0.2525
15840000000.0000	  -0.3117	  -0.1344	  -0.2006	   0.7056	  -0.2004	   0.7189	  -0.1942	   0.2629
15920000000.0000	  -0.3117	  -0.1096	  -0.1801	   0.7187	  -0.1841	   0.7187	  -0.1969	   0.2740
16000000000.0000	  -0.2955	  -0.1296	  -0.1586	   0.7155	  -0.1650	   0.7186	  -0.2037	   0.2835
16080000000.0000	  -0.3269	  -0.1505	  -0.1485	   0.7078	  -0.1476	   0.7214	  -0.2056	   0.2894
16160000000.0000	  -0.3467	  -0.1212	  -0.1312	   0.7140	  -0.1301	   0.7202	  -0.2024	   0.2991
16240000000.0000	  -0.3262	  -0.1172	  -0.1063	   0.7174	  -0.1144	   0.7222	  -0.2043	   0.3133
16320000000.0000	  -0.3379	  -0.1499	  -0.0923	   0.7102	  -0.0929	   0.7164	  -0.2088	   0.3228
16400000000.0000	  -0.3731	  -0.1356	  -0.0823	   0.7079	  -0.0775	   0.7166	  -0.2096	   0.3274
16480000000.0000	  -0.3646	  -0.1072	  -0.0554	   0.7117	  -0.0619	   0.7151	  -0.2035	   0.3394
16560000000.0000	  -0.3544	  -0.1334	  -0.0379	   0.7050	  -0.0476	   0.7178	  -0.2024	   0.3565
16640000000.0000	  -0.3903	  -0.1447	  -0.0333	   0.7029	  -0.0262	   0.7088	  -0.2059	   0.3639
16720000000.0000	  -0.4008	  -0.1108	  -0.0149	   0.7042	  -0.0110	   0.7066	  -0.2037	   0.3695
16800000000.0000	  -0.3804	  -0.1109	   0.0148	   0.6975	   0.0071	   0.7034	  -0.1921	   0.3791
16880000000.0000	  -0.4003	  -0.1346	   0.0205	   0.6889	   0.0181	   0.7003	  -0.1899	   0.3958
16960000000.0000	  -0.4293	  -0.1191	   0.0252	   0.6918	   0.0329	   0.6914	  -0.1911	   0.4038
17040000000.0000	  -0.4137	  -0.0986	   0.0503	   0.6869	   0.0508	   0.6913	  -0.1849	   0.4086
17120000000.0000	  -0.4121	  -0.1152	   0.0700	   0.6755	   0.0677	   0.6829	  -0.1711	   0.4164
17200000000.0000	  -0.4421	  -0.1203	   0.0721	   0.6723	   0.0723	   0.6775	  -0.1687	   0.4313
17280000000.0000	  -0.4483	  -0.0963	   0.0848	   0.6712	   0.0868	   0.6708	  -0.1687	   0.4397
17360000000.0000	  -0.4319	  -0.0950	   0.1076	   0.6581	   0.1052	   0.6684	  -0.1592	   0.4416
17440000000.0000	  -0.4463	  -0.1120	   0.1158	   0.6515	   0.1178	   0.6620	  -0.1474	   0.4490
17520000000.0000	  -0.4706	  -0.1016	   0.1205	   0.6538	   0.1221	   0.6564	  -0.1425	   0.4627
17600000000.0000	  -0.4603	  -0.0829	   0.1382	   0.6446	   0.1353	   0.6472	  -0.1400	   0.4700
17680000000.0000	  -0.4484	  -0.0973	   0.1533	   0.6292	   0.1513	   0.6447	  -0.1314	   0.4716
17760000000.0000	  -0.4764	  -0.1034	   0.1575	   0.6331	   0.1618	   0.6425	  -0.1189	   0.4799
17840000000.0000	  -0.4869	  -0.0801	   0.1706	   0.6332	   0.1683	   0.6362	  -0.1126	   0.4931
17920000000.0000	  -0.4637	  -0.0787	   0.1856	   0.6165	   0.1818	   0.6232	  -0.1087	   0.4977
18000000000.0000	  -0.4739	  -0.0953	   0.1936	   0.6090	   0.1921	   0.6227	  -0.1005	   0.5008
18080000000.0000	  -0.5014	  -0.0830	   0.2038	   0.6155	   0.2027	   0.6230	  -0.0855	   0.5088
18160000000.0000	  -0.4859	  -0.0643	   0.2169	   0.6070	   0.2113	   0.6149	  -0.0787	   0.5191
18240000000.0000	  -0.4757	  -0.0799	   0.2240	   0.5923	   0.2248	   0.6048	  -0.0719	   0.5239
18320000000.0000	  -0.5042	  -0.0811	   0.2346	   0.5939	   0.2361	   0.6047	  -0.0595	   0.5236
18400000000.0000	  -0.5066	  -0.0576	   0.2539	   0.5996	   0.2418	   0.6088	  -0.0519	   0.5314
18480000000.0000	  -0.4923	  -0.0635	   0.2605	   0.5769	   0.2570	   0.5936	  -0.0458	   0.5409
18560000000.0000	  -0.5048	  -0.0749	   0.2651	   0.5697	   0.2731	   0.5862	  -0.0358	   0.5446
18640000000.0000	  -0.5263	  -0.0538	   0.2812	   0.5707	   0.2852	   0.5814	  -0.0237	   0.5440
